,University,State Code,Student Health Center,Found by Algorithm,Terms Found,Number of Clicks,URL of page mention was found on,Path,Whether womens/birth control/sexual issues related section present on SHC,Womens Health/Contraception Related Sections,Womens Health/Contraception Related Section Links,Whether Womens Health/Contraception Related Ext Resources,Womens Health/Contraception Related Ext Resources,,,
148,Western Washington University,WA,https://studenthealth.wwu.edu/,TRUE,"['depo provera', 'depo', 'provera']",3,https://studenthealth.wwu.edu/birth-control-faq,"['https://studenthealth.wwu.edu/', 'CLINICAL SERVICES', 'Concussion Evaluation Services', '--> Click here for a FAQ about Hormonal Birth Control <--']",TRUE,"['Together Against Sexual Violence', 'SEXUAL HEALTH', 'Sexual Health Care Services', 'Sexual Health', 'Sexual Health Info Sessions', ' Sexual Health Educators', 'PWS Sexual Health Consultation Services', 'WWU Consultation and Sexual Assault Support Services (CASAS)', '--> Click here for a FAQ about Hormonal Birth Control <--', 'Emergency Contraception']","['https://wp.wwu.edu/sexualviolence/', 'https://pws.wwu.edu/sexual-health-education-and-outreach', 'https://studenthealth.wwu.edu/sexual-health-care-services', 'https://pws.wwu.edu/sexual-health-education-and-outreach', 'https://pws.wwu.edu/sexinfo', 'https://pws.wwu.edu/pshe', 'https://pws.wwu.edu/sexual-health-information-sessions', 'https://pws.wwu.edu/', 'https://studenthealth.wwu.edu/birth-control-faq', 'https://studenthealth.wwu.edu/emergency-contraception']",TRUE,"['http://www.ashasexualhealth.org/', 'https://www.plannedparenthood.org/', 'https://www.plannedparenthood.org/planned-parenthood-mt-baker']",,,
149,Winona State University,MN,https://www.winona.edu/healthservices/,TRUE,['intrauterin devic'],1,https://www.winona.edu/healthservices/clinicservices.asp,"['https://www.winona.edu/healthservices/', 'Clinic Services']",TRUE,['Sexual Violence Resources'],['http://www.winona.edu/sexual-violence/'],TRUE,['https://www.bedsider.org/methods'],,,
150,Winston Salem State University,NC,https://www.wssu.edu/student-life/university-wellness-center/,TRUE,['control shot'],1,https://www.wssu.edu/student-life/university-wellness-center/health-services/index.html,"['https://www.wssu.edu/student-life/university-wellness-center/', 'Health Services']",FALSE,[],[],FALSE,[],,,
151,Winthrop University,SC,https://www.winthrop.edu/hcs/,TRUE,"['contracept implant', 'depo-provera']",4,https://goaskalice.columbia.edu/category/sexual-reproductive-health,"['https://www.winthrop.edu/hcs/', 'After-Hours Healthcare', 'Health and Counseling Services', 'Health & Counseling', 'Sexual & Reproductive Health']",TRUE,"['Sexuality and STIs', 'Sexual & Reproductive Health']","['https://www.winthrop.edu/hcs/helpful-links.aspx#Sexuality_and_STIs_%28Sexually_Transmitted_Infections%29__', 'https://goaskalice.columbia.edu/category/sexual-reproductive-health']",TRUE,"['http://www.bedsider.org/', 'http://www.plannedparenthood.org/']",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,0 clicks,13,,,,,,,,,,
,,,,,1 click,64,,,,,,,,,,
,,,,,2 click,60,,,,,,,,,,
,,,,,3 click,13,,,,,,,,,,
,,,,,4 click,1,,,,,,,,,,
,,,,,,,,0,1,2,3,4,,,,
,,,,Sr. no.,State Code,# of public universities under study,# of universities for which a mention of LARC has been found on its SHC,# of universities having LARC mention 0 clicks away,# of universities having LARC mention 1 click away,# of universities having LARC mention 2 clicks away,# of universities having LARC mention 3 clicks away,# of universities having LARC mention 4 clicks away,# of universities with women's/birth control/sexual issues related section present on SHC,# of universities with women's Health/Contraception Related External Resources Present on SHC,,
,,,,1,AK,3,0,0,0,0,0,0,0,0,,
,,,,2,AL,13,2,0,1,1,0,0,1,0,,
,,,,3,AR,10,2,0,1,1,0,0,1,0,,
,,,,4,AZ,5,3,0,0,3,0,0,3,0,,
,,,,5,CA,32,19,1,6,10,2,0,15,7,,
,,,,6,CO,11,1,0,1,0,0,0,1,0,, 
,,,,7,CT,5,1,0,1,0,0,0,0,0,,
,,,,8,DC,1,0,0,0,0,0,0,0,0,,
,,,,9,DE,2,1,0,0,1,0,0,1,0,,
,,,,10,FL,16,5,1,0,3,1,0,4,2,,
,,,,11,GA,23,4,1,0,3,0,0,3,1,,
,,,,12,HI,3,1,0,1,0,0,0,0,0,,
,,,,13,IA,3,1,1,0,0,0,0,0,0,,
,,,,14,ID,4,1,0,0,0,1,0,1,0,,
,,,,15,IL,12,4,0,3,1,0,0,2,2,,
,,,,16,IN,14,4,0,1,1,2,0,3,1,,
,,,,17,KS,7,1,0,1,0,0,0,0,1,,
,,,,18,KY,8,2,0,1,1,0,0,2,1,,
,,,,19,LA,14,2,0,2,0,0,0,1,0,,
,,,,20,MA,12,1,0,0,1,0,0,1,0,,
,,,,21,MD,12,7,1,5,1,0,0,4,2,,
,,,,22,ME,7,2,0,2,0,0,0,2,0,,
,,,,23,MI,15,6,1,3,2,0,0,3,2,,
,,,,24,MN,11,4,0,3,1,0,0,3,1,,
,,,,25,MO,14,3,1,2,0,0,0,1,0,,
,,,,26,MS,8,0,0,0,0,0,0,0,0,,
,,,,27,MT,6,3,0,0,2,1,0,3,1,,
,,,,28,NC,15,3,0,1,2,0,0,2,1,,
,,,,29,ND,6,1,1,0,0,0,0,0,0,,
,,,,30,NE,6,0,0,0,0,0,0,0,0,,
,,,,31,NH,4,2,0,0,2,0,0,2,0,,
,,,,32,NJ,12,4,0,3,0,1,0,3,0,,
,,,,33,NM,7,1,0,1,0,0,0,0,0,,
,,,,34,NV,2,0,0,0,0,0,0,0,0,,
,,,,35,NY,39,5,0,2,3,0,0,5,2,,
,,,,36,OH,16,5,0,2,2,1,0,4,1,,
,,,,37,OK,12,2,0,0,2,0,0,2,1,,
,,,,38,OR,7,2,0,1,1,0,0,1,0,,
,,,,39,PA,39,11,2,3,5,1,0,8,2,,
,,,,40,RI,2,0,0,0,0,0,0,0,0,,
,,,,41,SC,10,4,0,2,1,0,1,4,2,,
,,,,42,SD,5,0,0,0,0,0,0,0,0,,
,,,,43,TN,9,1,0,1,0,0,0,0,0,,
,,,,44,TX,32,7,0,6,1,0,0,7,1,,
,,,,45,UT,5,1,0,1,0,0,0,0,1,,
,,,,46,VA,14,6,1,1,4,0,0,5,1,,
,,,,47,VT,4,1,1,0,0,0,0,0,0,,
,,,,48,WA,7,4,0,2,0,2,0,3,2,,
,,,,49,WI,13,9,0,3,5,1,0,6,4,,
,,,,50,WV,10,2,1,1,0,0,0,1,0,,
,,,,51,WY,1,0,0,0,0,0,0,0,0,,
,,,,,Total,548,151,13,64,60,13,1,108,39,,
